,Femme,Homme,Age1,Age2,Age3,Age4,Age5,Age6
ddites,1,0,0,0,0,1,0,0
ddl,0,1,1,0,0,0,0,0
ddmer,1,0,1,0,0,0,0,0
de18,0,1,0,0,0,0,1,0
dead,12,1,1,5,1,6,0,0
deal,4,1,1,0,0,0,2,2
dealais,0,1,1,0,0,0,0,0
dealent,0,1,1,0,0,0,0,0
dear,1,1,0,0,0,1,0,1
deasupra,1,0,0,0,1,0,0,0
death,0,3,0,2,1,0,0,0
deau,2,0,0,0,0,0,2,0
deauvilleee,0,1,1,0,0,0,0,0
debale,1,0,0,0,0,0,1,0
deballe,1,0,1,0,0,0,0,0
deballer,1,0,0,0,0,0,1,0
debarasse,1,0,0,0,0,1,0,0
debarasser,3,0,0,0,1,0,2,0
debarassé,1,0,0,0,0,0,1,0
debarassée,1,0,0,0,0,0,1,0
debardeur,2,1,0,0,1,1,1,0
debarquant,1,0,0,1,0,0,0,0
debarque,3,0,0,2,0,0,1,0
debarquer,1,1,0,2,0,0,0,0
debat,2,0,0,2,0,0,0,0
debecte,1,0,0,0,0,1,0,0
debil,1,3,3,0,0,0,0,1
debile,22,5,6,16,0,1,0,4
debiles,3,0,0,2,0,1,0,0
debilos,1,0,0,1,0,0,0,0
debilose,0,1,1,0,0,0,0,0
debiné,1,0,0,0,0,0,1,0
debloque,0,1,1,0,0,0,0,0
debloquer,1,0,0,0,0,0,0,1
debloqué,2,0,0,1,0,0,1,0
deboche,1,0,1,0,0,0,0,0
debord,1,0,1,0,0,0,0,0
deborde,1,0,0,0,0,0,0,1
debordement,1,0,0,1,0,0,0,0
deborder,1,0,0,0,0,0,0,1
debordè,1,0,1,0,0,0,0,0
debouche,2,0,0,1,0,0,1,0
debouches,1,0,0,0,1,0,0,0
debout,45,18,9,13,4,10,15,12
debouze,1,0,0,0,0,0,1,0
debouzze,0,1,1,0,0,0,0,0
debranch,1,0,0,0,0,0,1,0
debrancher,1,0,0,0,0,0,1,0
debriefer,1,0,0,0,0,0,0,1
debrouillai,1,0,0,0,0,1,0,0
debrouille,3,0,2,0,0,0,1,0
debrouiller,2,0,0,2,0,0,0,0
debrouillerai,1,1,2,0,0,0,0,0
debrouillerais,1,0,0,0,1,0,0,0
debrouilles,1,0,0,0,0,1,0,0
debroulle,0,1,1,0,0,0,0,0
debu,1,0,0,0,1,0,0,0
debut,45,5,5,20,7,5,5,8
debutantes,1,0,0,0,1,0,0,0
debute,1,0,0,0,1,0,0,0
debuut,2,0,0,1,1,0,0,0
dec,11,11,3,11,0,7,0,1
decalage,2,0,0,1,1,0,0,0
decale,1,0,0,0,0,1,0,0
decaler,2,0,0,0,0,1,0,1
decalerai,0,1,1,0,0,0,0,0
decalle,1,0,0,0,1,0,0,0
decaller,2,0,0,2,0,0,0,0
decart,0,1,0,0,0,0,1,0
decat,1,2,2,0,1,0,0,0
decath,0,1,0,0,0,0,0,1
decathlon,3,0,0,0,1,1,0,1
decatlon,2,0,1,0,0,1,0,0
decembre,10,1,2,3,0,3,3,0
decembreeeee,1,0,0,1,0,0,0,0
decendre,0,1,0,0,0,0,1,0
decent,1,0,0,0,0,0,0,1
decente,1,0,0,0,0,0,0,1
deces,1,1,0,0,0,0,1,1
decevant,1,1,1,0,1,0,0,0
decevez,0,1,1,0,0,0,0,0
decevoir,1,0,0,1,0,0,0,0
dech,2,1,0,0,0,1,1,1
decharge,3,0,0,2,1,0,0,0
decharger,1,0,0,0,0,0,0,1
dechausse,1,0,0,0,0,0,0,1
deche,0,1,0,0,0,0,1,0
decheterie,2,0,0,1,1,0,0,0
dechez,1,0,0,0,0,0,1,0
dechicter,0,1,1,0,0,0,0,0
dechirait,0,1,1,0,0,0,0,0
dechire,1,1,1,0,0,0,1,0
dechirent,0,1,1,0,0,0,0,0
dechirer,2,0,1,1,0,0,0,0
dechiré,1,0,0,1,0,0,0,0
decide,10,2,2,5,2,2,1,0
decidement,3,1,1,0,0,1,0,2
decidemment,2,0,1,0,1,0,0,0
decider,11,1,0,5,4,0,1,2
decidera,1,0,0,0,1,0,0,0
decides,3,0,0,3,0,0,0,0
decidé,5,0,0,2,0,0,3,0
decimal,2,0,0,0,2,0,0,0
decision,5,0,0,0,2,1,0,2
decisions,4,0,0,2,0,0,0,2
declaré,1,0,0,0,0,0,0,1
deco,5,3,0,2,0,0,4,2
decocher,0,1,1,0,0,0,0,0
decodeur,1,0,0,0,0,0,1,0
decois,1,1,2,0,0,0,0,0
decoler,0,1,0,0,0,0,1,0
decoleuse,1,0,0,0,0,1,0,0
decolle,2,1,0,0,1,0,1,1
decollees,1,0,0,0,0,1,0,0
decompresse,1,4,0,0,1,0,3,1
decompresser,2,0,0,0,0,2,0,0
decompressera,0,1,0,0,0,0,1,0
decompression,1,0,0,1,0,0,0,0
decone,0,1,1,0,0,0,0,0
deconer,0,3,1,0,2,0,0,0
deconnage,1,0,0,0,0,0,0,1
deconne,7,10,9,6,0,0,2,0
deconnecter,1,0,0,0,0,0,0,1
deconner,0,8,6,1,0,0,1,0
deconseille,1,0,1,0,0,0,0,0
decontracter,1,0,0,0,0,0,0,1
decos,1,0,0,0,1,0,0,0
decotracteront,1,0,1,0,0,0,0,0
decourage,2,0,0,0,1,1,0,0
decouragé,1,0,0,1,0,0,0,0
decouvert,1,0,0,0,0,1,0,0
decouvre,2,1,1,1,0,0,1,0
decouvres,1,0,0,0,1,0,0,0
decouvrir,9,1,1,6,1,0,1,1
decoñne,1,0,0,0,0,0,1,0
decrir,2,0,0,0,0,0,2,0
decrire,5,0,0,4,0,0,1,0
decris,1,0,0,1,0,0,0,0
decriture,1,0,1,0,0,0,0,0
decroche,2,1,0,0,2,1,0,0
decrocher,2,0,0,1,1,0,0,0
decrravail,0,1,0,0,0,0,0,1
decu,5,5,2,3,2,1,1,1
decue,6,0,0,4,2,0,0,0
decuite,0,1,0,0,0,0,1,0
decuité,0,1,0,0,0,0,1,0
decus,1,0,0,1,0,0,0,0
ded,0,1,0,0,0,0,1,0
dedaigneux,1,0,0,0,0,1,0,0
dedan,6,2,3,0,1,0,1,3
dedans,68,33,11,20,12,20,26,12
dedansaintenant,1,0,0,0,0,0,1,0
dedant,2,0,0,2,0,0,0,0
dedele,7,0,0,7,0,0,0,0
dedicace,0,1,1,0,0,0,0,0
dedicassé,0,1,0,0,0,0,0,1
dedonces,1,0,0,0,0,1,0,0
dedsuise,1,0,0,1,0,0,0,0
deduction,1,0,0,0,0,0,1,0
deduire,2,0,0,1,0,1,0,0
deduit,1,0,0,1,0,0,0,0
deeeeeeeeeeg,1,0,0,1,0,0,0,0
deeeeg,1,0,0,0,0,0,1,0
deeeg,1,0,0,0,0,1,0,0
deenflé,0,1,1,0,0,0,0,0
deep,1,0,0,0,0,1,0,0
deepest,0,1,0,0,0,0,0,1
deezer,1,1,2,0,0,0,0,0
def,1,1,0,1,0,0,0,1
defaire,0,1,0,0,0,0,1,0
defais,2,0,0,0,0,0,0,2
defaut,2,0,0,1,0,0,0,1
defauts,2,0,0,2,0,0,0,0
defeaud,1,0,0,0,0,1,0,0
defence,3,0,0,0,0,0,2,1
defend,1,0,0,1,0,0,0,0
defendable,1,0,0,0,0,0,0,1
defense,2,1,0,2,0,0,0,1
defetiste,1,0,0,0,0,1,0,0
deff,0,1,1,0,0,0,0,0
deficients,0,1,0,0,0,0,1,0
defiler,2,0,0,0,2,0,0,0
defilé,0,1,0,1,0,0,0,0
definir,3,0,0,3,0,0,0,0
definitely,1,0,0,0,0,1,0,0
definitif,1,0,0,0,1,0,0,0
definition,2,1,2,1,0,0,0,0
definitions,0,1,1,0,0,0,0,0
definitive,1,0,0,0,0,0,0,1
definitivement,2,0,0,0,0,1,0,1
defoi,2,1,1,1,1,0,0,0
defois,2,1,1,1,0,0,1,0
defonce,2,2,2,2,0,0,0,0
defoncer,2,3,3,1,0,0,0,1
defoncé,0,1,1,0,0,0,0,0
defoncée,1,0,0,1,0,0,0,0
deformation,1,0,0,0,0,0,1,0
defoulai,1,0,0,0,0,0,1,0
defoule,1,0,0,0,0,0,0,1
defouler,3,0,0,0,0,0,0,3
defouloir,0,1,1,0,0,0,0,0
defwa,1,0,1,0,0,0,0,0
deg,116,28,11,35,8,52,23,15
degager,1,0,0,0,0,0,0,1
degarni,1,0,0,0,0,0,1,0
degat,0,1,0,0,0,0,1,0
degelase,1,0,1,0,0,0,0,0
degeu,2,0,2,0,0,0,0,0
degeulase,3,0,3,0,0,0,0,0
degeulasse,6,0,5,1,0,0,0,0
deglingué,2,0,2,0,0,0,0,0
deglise,0,1,1,0,0,0,0,0
degobillé,3,0,0,3,0,0,0,0
degommer,1,0,0,1,0,0,0,0
degonfle,4,0,0,0,1,2,0,1
degonfles,1,0,0,1,0,0,0,0
degonflé,1,0,0,0,0,1,0,0
degouline,1,0,0,0,0,0,1,0
degoute,3,1,1,3,0,0,0,0
degoutee,6,0,0,1,1,4,0,0
degoutent,1,0,0,0,0,1,0,0
degouter,2,0,1,1,0,0,0,0
degoutè,1,0,1,0,0,0,0,0
degouté,3,1,1,0,0,0,0,3
degoutée,1,1,0,1,0,0,1,0
degrade,2,0,0,0,0,0,0,2
degre,4,0,0,0,0,0,0,4
degres,5,0,1,3,0,0,0,1
degré,4,7,0,1,1,1,7,1
degrés,3,5,4,3,1,0,0,0
degu,1,0,1,0,0,0,0,0
degue,2,0,0,1,0,1,0,0
deguelasse,3,0,0,0,0,2,1,0
deguelassz,1,0,0,0,0,1,0,0
degueu,4,0,0,0,2,1,1,0
degueulasse,5,1,3,0,0,0,1,2
degueulasseeeeeeeeee,1,0,0,0,1,0,0,0
deguise,0,1,1,0,0,0,0,0
deguisee,1,0,0,0,1,0,0,0
deguisement,0,1,0,1,0,0,0,0
deguisements,1,0,1,0,0,0,0,0
deguiser,0,1,0,1,0,0,0,0
deguisé,1,0,0,0,0,0,0,1
deguisés,0,1,0,1,0,0,0,0
deguueeee,1,0,0,1,0,0,0,0
deguuueee,1,0,0,1,0,0,0,0
dehek,1,0,1,0,0,0,0,0
dehor,4,3,6,0,0,0,0,1
dehors,87,26,31,27,8,18,20,9
deine,0,1,0,0,0,0,0,1
deixado,0,1,1,0,0,0,0,0
dej,19,4,1,4,1,3,8,6
deja,154,49,52,42,32,17,38,22
dejaaa,1,0,0,0,1,0,0,0
dejbet,1,0,0,0,0,0,0,1
dejcvd,0,1,1,0,0,0,0,0
dejener,1,0,0,0,0,0,0,1
dejeune,2,0,0,1,0,0,0,1
dejeuneeee,1,0,0,1,0,0,0,0
dejeuner,10,0,0,1,4,1,0,4
dejeunè,1,0,0,0,0,0,1,0
dejeuné,0,1,1,0,0,0,0,0
dejà,4,0,0,0,1,2,0,1
dekoi,2,0,0,1,0,0,0,1
del,6,2,2,1,3,0,0,2
dela,2,1,1,1,0,0,0,1
delais,1,0,0,0,1,0,0,0
delaisderonner,1,0,0,0,0,0,1,0
delegue,1,0,0,1,0,0,0,0
delegues,2,0,1,1,0,0,0,0
delegués,2,0,2,0,0,0,0,0
deli,0,1,0,0,0,0,0,1
deliberage,1,0,0,0,0,0,0,1
delicafe,0,4,0,0,0,0,0,4
delicatesse,2,0,0,2,0,0,0,0
delicatessen,1,0,0,0,0,0,1,0
delice,1,0,0,0,1,0,0,0
delicieux,1,0,0,0,1,0,0,0
delicious,1,0,0,0,1,0,0,0
delir,1,0,0,0,0,0,0,1
delire,8,2,1,3,5,1,0,0
delires,2,0,0,2,0,0,0,0
deliré,1,0,0,1,0,0,0,0
dell,1,0,0,0,0,0,1,0
della,1,0,0,0,0,0,0,1
delle,2,1,0,0,0,0,1,2
delta,2,1,2,0,0,0,0,1
deltac,1,0,0,0,1,0,0,0
deluge,5,0,0,0,0,0,4,1
deluxe,0,2,1,1,0,0,0,0
delà,4,3,0,1,0,4,0,2
dem,4,1,1,1,0,0,1,2
dem1,5,2,0,1,4,0,0,2
dema4n,0,1,0,1,0,0,0,0
demaaaaaaain,1,0,0,1,0,0,0,0
demaaain,2,0,0,2,0,0,0,0
demai,5,0,4,0,1,0,0,0
demaiiin,1,0,0,0,0,1,0,0
demaiin,1,0,0,1,0,0,0,0
demaiinn,0,1,1,0,0,0,0,0
demaim,1,0,0,0,0,0,1,0
demaimn,1,0,1,0,0,0,0,0
demain,2412,828,605,539,261,609,570,656
demaine,3,0,0,2,0,0,1,0
demaino,0,1,0,0,0,0,0,1
demains,1,1,1,1,0,0,0,0
demais,1,1,1,0,1,0,0,0
demamde,1,0,0,0,0,1,0,0
deman,2,0,1,0,0,0,0,1
demanagement,1,0,0,0,0,0,0,1
demand,1,0,0,0,0,0,0,1
demandai,4,0,1,0,1,2,0,0
demandais,39,16,9,3,5,8,26,4
demandait,7,1,0,0,1,1,3,3
demandant,4,0,1,1,0,0,0,2
demande,270,93,69,68,50,68,61,47
demandent,11,3,0,1,3,2,3,5
demander,201,73,54,57,25,39,58,41
demandera,8,6,5,4,0,1,3,1
demanderai,21,2,6,4,2,2,6,3
demanderais,9,5,4,4,0,3,1,2
demanderas,2,0,0,0,0,0,1,1
demanderr,1,0,0,0,1,0,0,0
demandes,30,8,5,7,2,14,4,6
demandez,2,2,3,0,0,1,0,0
demanding,0,1,0,0,0,0,1,0
demandra,1,1,1,1,0,0,0,0
demandè,2,0,0,0,0,0,0,2
demandé,173,44,48,35,9,48,39,38
demandée,1,2,1,1,0,0,1,0
demange,1,0,0,0,0,0,0,1
demanger,1,0,1,0,0,0,0,0
demaon,1,0,0,0,0,0,1,0
demarche,2,0,0,1,0,0,1,0
demarquer,1,0,0,1,0,0,0,0
demarrage,0,1,0,0,0,0,1,0
demarre,1,0,0,0,1,0,0,0
demarrer,1,0,0,0,1,0,0,0
demballer,1,0,0,1,0,0,0,0
demenage,3,0,2,0,0,1,0,0
demenagement,5,0,2,0,1,1,1,0
demenager,1,0,0,0,0,0,1,0
demenageur,1,0,0,0,0,1,0,0
demenagé,0,1,0,0,0,0,1,0
demenderai,0,1,0,0,1,0,0,0
demené,0,1,0,0,0,0,1,0
demerde,3,3,0,0,1,2,3,0
demerder,2,1,0,1,0,0,1,1
demerderai,1,0,0,0,0,0,1,0
demesure,1,0,0,1,0,0,0,0
demi,91,24,14,17,8,41,17,18
demie,28,3,4,0,5,11,8,3
demies,2,0,0,0,0,0,0,2
demiiii,1,0,0,0,0,1,0,0
demin,16,4,3,0,7,1,9,0
demis,1,0,1,0,0,0,0,0
demission,1,0,0,0,0,0,0,1
demissionner,1,0,0,0,0,0,0,1
demmander,1,0,0,0,0,0,0,1
demmandé,0,1,1,0,0,0,0,0
demndé,1,0,0,0,0,0,1,0
demo,3,0,0,0,0,0,0,3
demoiselle,4,3,1,1,1,2,0,2
demoiselles,0,3,0,0,0,0,2,1
demonstartion,1,0,0,1,0,0,0,0
demonter,2,1,1,1,0,0,1,0
demontre,1,0,0,0,0,0,0,1
demontrer,3,0,0,3,0,0,0,0
demploi,0,1,0,0,0,0,1,0
dempsey,1,0,1,0,0,0,0,0
dems,2,0,0,2,0,0,0,0
demzin,1,0,1,0,0,0,0,0
den,5,10,2,0,1,0,12,0
dendroit,0,1,0,0,0,0,1,0
dendroits,1,0,0,0,0,1,0,0
denervement,0,1,0,0,0,0,1,0
denfoire,0,1,0,0,0,0,1,0
denglish,0,1,1,0,0,0,0,0
dengueulades,1,0,1,0,0,0,0,0
denicher,1,0,0,0,1,0,0,0
denis,2,4,1,0,0,0,2,3
deniveler,0,1,1,0,0,0,0,0
deniére,1,0,0,0,0,0,0,1
denlever,0,1,0,0,0,0,1,0
dennuie,1,0,0,1,0,0,0,0
denominateur,1,0,0,1,0,0,0,0
denoncer,1,0,0,1,0,0,0,0
denrée,1,0,0,0,0,0,0,1
densité,1,0,0,0,0,0,1,0
densités,0,1,1,0,0,0,0,0
dent,7,8,0,4,0,0,9,2
dentaire,4,0,0,0,0,3,0,1
dentelle,0,1,1,0,0,0,0,0
dentelles,2,0,0,0,0,2,0,0
dentier,1,0,0,1,0,0,0,0
dentiste,20,6,4,3,1,0,5,13
dentrainement,1,1,0,1,0,0,1,0
dentre,1,1,0,0,1,0,1,0
dentree,1,0,0,0,0,0,1,0
dentreprise,1,0,0,0,0,1,0,0
dentrer,0,1,0,0,0,0,1,0
dentrre,1,0,0,0,0,0,1,0
dentrée,0,1,0,0,0,0,1,0
dents,27,13,10,7,0,6,7,10
denvoie,1,0,0,1,0,0,0,0
denvoyer,1,0,0,0,0,0,1,0
deo,0,1,1,0,0,0,0,0
deor,1,0,0,0,0,0,0,1
deouus,1,0,0,0,0,0,1,0
dep,2,0,1,0,1,0,0,0
depandé,1,0,0,0,0,0,1,0
depanner,1,0,0,0,0,0,1,0
depargne,0,2,0,0,0,0,2,0
depart,7,2,1,2,0,1,2,3
departement,1,1,1,0,1,0,0,0
departs,1,0,0,0,0,0,0,1
depasse,1,0,0,1,0,0,0,0
depasser,3,0,0,1,0,0,1,1
depassé,1,0,0,1,0,0,0,0
depaysage,1,0,0,0,1,0,0,0
depaysant,1,0,0,0,0,1,0,0
depeche,3,5,5,1,0,1,1,0
depechent,0,1,1,0,0,0,0,0
depecher,2,0,0,2,0,0,0,0
depechez,1,1,1,0,1,0,0,0
depen,1,0,0,0,0,0,1,0
depend,19,8,5,14,4,0,2,2
dependra,5,1,0,2,1,0,1,2
dependre,1,0,0,1,0,0,0,0
depends,1,0,0,1,0,0,0,0
depense,2,1,1,0,1,0,1,0
depenser,1,0,0,1,0,0,0,0
depensera,1,0,0,0,1,0,0,0
depenses,4,2,0,1,1,1,0,3
depensé,0,1,1,0,0,0,0,0
deperate,1,0,0,1,0,0,0,0
depfimer,1,0,0,0,1,0,0,0
depité,1,0,1,0,0,0,0,0
deplace,3,1,0,2,0,2,0,0
deplacement,0,1,0,1,0,0,0,0
deplacer,2,0,0,1,0,0,0,1
deplacées,1,0,0,1,0,0,0,0
depleurer,1,0,1,0,0,0,0,0
deplu,1,0,0,0,0,1,0,0
depose,4,0,0,1,1,1,1,0
deposer,2,1,0,2,0,0,1,0
deposé,2,0,0,2,0,0,0,0
depot,0,2,0,0,0,0,0,2
depouille,1,0,0,1,0,0,0,0
depp,1,1,0,1,0,0,0,1
deprendre,1,0,1,0,0,0,0,0
depression,2,0,0,1,0,0,0,1
deprimait,1,0,0,0,1,0,0,0
deprimant,1,0,0,0,0,0,0,1
deprime,4,0,0,2,1,0,1,0
deprimee,2,0,0,0,0,1,1,0
depriment,0,2,0,0,0,0,2,0
deprimer,4,0,0,2,1,0,1,0
deprimée,1,0,1,0,0,0,0,0
deprogrammer,1,0,0,1,0,0,0,0
depuceler,1,0,1,0,0,0,0,0
depui,4,2,2,0,1,1,0,2
depuiiiiii,1,0,0,1,0,0,0,0
depuis,400,119,78,115,41,97,95,93
depuit,1,0,0,0,1,0,0,0
depuks,1,0,0,0,0,0,0,1
depéchent,1,0,0,0,0,1,0,0
dequis,0,1,0,1,0,0,0,0
der,2,1,0,1,1,0,1,0
derang,0,1,1,0,0,0,0,0
derange,41,6,5,14,21,1,3,3
derangeje,1,0,1,0,0,0,0,0
deranger,8,3,1,4,3,0,2,1
derangera,1,0,0,0,0,0,0,1
derangerai,1,1,1,0,0,0,1,0
derangerais,0,1,1,0,0,0,0,0
derangerait,1,0,1,0,0,0,0,0
deranges,1,0,0,1,0,0,0,0
dercire,0,1,1,0,0,0,0,0
derien,26,15,11,17,2,5,6,0
derienbisous,1,0,0,0,0,0,0,1
deriere,3,1,3,1,0,0,0,0
derive,1,0,0,1,0,0,0,0
derivee,1,0,0,1,0,0,0,0
derivés,0,2,0,0,2,0,0,0
derière,1,1,1,0,0,1,0,0
dermato,6,0,0,1,0,0,2,3
derniee,1,0,0,1,0,0,0,0
dernier,194,61,31,52,22,45,71,34
derniere,73,15,18,32,10,12,7,9
dernieres,7,2,2,1,1,4,0,1
derniers,29,3,3,3,0,12,10,4
dernière,172,48,45,26,11,47,54,37
dernières,17,6,3,2,0,6,7,5
dernié,1,0,0,0,0,0,0,1
derniére,1,0,0,0,0,0,0,1
derniérement,1,0,0,0,0,0,0,1
derobert,1,0,0,0,0,0,1,0
deroule,1,0,0,1,0,0,0,0
derouler,1,0,0,1,0,0,0,0
deroutant,1,0,0,0,0,1,0,0
derriere,11,5,4,2,3,2,4,1
derrir,1,0,0,0,0,1,0,0
derrière,44,21,13,10,3,13,15,11
derrières,0,1,0,0,0,0,0,1
derythmé,1,0,0,0,0,1,0,0
desactive,1,0,0,0,0,1,0,0
desactiver,2,0,0,2,0,0,0,0
desactivé,1,1,1,1,0,0,0,0
desagreable,0,1,0,1,0,0,0,0
descartes,1,0,0,1,0,0,0,0
descen,1,0,0,0,0,0,1,0
descend,42,12,10,10,11,15,4,4
descendait,2,0,0,0,0,1,0,1
descendant,1,1,0,2,0,0,0,0
descendante,1,0,0,0,0,1,0,0
descendants,0,1,0,0,0,0,1,0
descende,4,0,1,0,0,1,1,1
descendes,1,0,0,0,1,0,0,0
descendez,3,0,0,1,0,1,0,1
descendiez,1,0,0,0,0,0,0,1
descendrai,5,0,0,0,1,1,0,3
descendrais,1,1,0,1,1,0,0,0
descendras,1,0,0,0,0,0,1,0
descendre,29,6,4,6,5,6,5,9
descendrons,2,0,1,0,0,1,0,0
descends,26,3,0,1,9,7,6,6
descendu,10,4,6,0,1,4,2,1
descendue,2,0,0,0,0,2,0,0
descendus,2,0,0,0,0,1,1,0
descent,0,1,0,0,1,0,0,0
descente,5,0,0,0,0,3,2,0
descentes,0,1,1,0,0,0,0,0
deschis,1,0,0,0,1,0,0,0
descrendre,1,0,0,0,1,0,0,0
descriptifs,1,0,0,1,0,0,0,0
description,3,1,0,0,0,1,3,0
desczndre,1,0,0,0,0,1,0,0
desensibilisation,1,0,0,0,0,0,1,0
desensibiliser,1,0,0,1,0,0,0,0
desepere,1,0,0,1,0,0,0,0
desepérer,0,1,1,0,0,0,0,0
desequilibre,0,1,0,0,0,0,1,0
desernerve,1,0,1,0,0,0,0,0
desert,0,1,1,0,0,0,0,0
desespere,2,0,0,2,0,0,0,0
desesperee,1,0,0,1,0,0,0,0
desesperement,0,1,0,0,1,0,0,0
desesperer,0,1,1,0,0,0,0,0
desespoir,2,0,0,1,0,1,0,0
desespère,0,1,1,0,0,0,0,0
desespérée,1,0,0,0,0,1,0,0
desfois,4,1,0,1,0,0,4,0
desfpid,1,0,0,0,0,0,1,0
desider,1,0,1,0,0,0,0,0
design,2,1,0,1,1,0,0,1
desin,1,0,1,0,0,0,0,0
desinscrites,1,0,0,1,0,0,0,0
desir,6,0,0,6,0,0,0,0
desire,2,0,0,0,2,0,0,0
desirs,2,0,0,2,0,0,0,0
deso,3,0,2,0,0,0,1,0
desolai,1,0,0,0,0,0,1,0
desole,40,10,8,16,6,6,2,12
desolee,39,2,6,16,11,3,1,4
desoleeee,2,0,0,2,0,0,0,0
desoleeeee,1,0,0,1,0,0,0,0
desoleeeeee,1,0,0,1,0,0,0,0
desoler,1,2,2,0,0,0,0,1
desolè,1,0,0,0,0,0,0,1
desolé,6,9,0,4,7,0,1,3
desolée,3,0,0,2,1,0,0,0
desordre,1,0,0,0,0,0,1,0
desorienter,1,0,0,0,0,1,0,0
desormais,0,1,1,0,0,0,0,0
desous,0,1,1,0,0,0,0,0
despagne,1,0,0,0,1,0,0,0
despagnol,2,2,2,0,1,0,1,0
despair,0,1,0,0,0,0,0,1
despe,1,0,0,1,0,0,0,0
despee,1,0,0,0,0,1,0,0
desperaaaaate,1,0,0,0,1,0,0,0
desperat,1,0,0,1,0,0,0,0
desperate,19,9,1,2,9,1,5,10
despi,2,0,2,0,0,0,0,0
despite,0,1,0,0,0,0,0,1
desprit,1,0,0,0,0,0,0,1
desprits,0,1,1,0,0,0,0,0
después,1,0,1,0,0,0,0,0
despé,1,0,0,0,0,0,0,1
dessence,0,1,0,0,0,0,1,0
dessends,1,0,0,0,0,1,0,0
desser,1,0,0,0,0,0,0,1
dessert,29,6,3,2,4,12,8,6
desserte,3,0,0,0,0,0,3,0
desserts,0,2,0,0,1,0,0,1
desservi,1,0,0,0,0,1,0,0
desservies,1,0,0,0,0,1,0,0
dessin,16,9,9,2,1,3,4,6
dessinateurs,0,1,0,0,0,1,0,0
dessinatrice,4,0,0,0,4,0,0,0
dessine,8,2,3,2,3,0,1,1
dessiner,5,0,2,2,0,0,0,1
dessins,2,1,0,0,1,2,0,0
dessiné,4,2,2,1,0,3,0,0
dessolllleeee,1,0,0,0,1,0,0,0
dessous,20,6,3,7,3,8,4,1
dessu,7,0,1,1,1,1,3,0
dessuite,3,0,0,0,0,0,2,1
dessus,150,46,32,48,10,37,46,23
destabilise,1,0,0,0,0,0,0,1
destin,5,2,0,1,0,3,1,2
destinaire,1,0,0,0,0,0,0,1
destinataire,16,1,2,3,0,4,4,4
destinataires,1,0,0,0,0,0,0,1
destination,13,3,0,1,1,4,8,2
destinations,6,0,0,0,0,0,6,0
destiné,5,0,0,2,0,2,0,1
destinée,1,0,0,0,0,1,0,0
destrese,1,0,1,0,0,0,0,0
destress,2,0,0,1,0,1,0,0
destresser,1,0,0,0,1,0,0,0
desu,1,0,0,0,0,0,0,1
desuite,3,5,1,0,4,2,1,0
desus,1,0,1,0,0,0,0,0
desydrate,0,1,0,0,0,0,1,0
det,1,0,0,0,0,0,1,0
detablir,0,1,0,0,1,0,0,0
detache,1,0,0,0,0,1,0,0
detail,5,2,1,2,1,0,2,1
details,1,0,0,1,0,0,0,0
detecteur,1,0,0,1,0,0,0,0
detendre,1,0,0,0,0,1,0,0
detendu,1,0,0,0,0,0,0,1
detente,4,0,0,3,0,0,0,1
determiner,1,0,0,0,1,0,0,0
detestable,2,0,0,0,0,2,0,0
deteste,23,6,6,10,0,12,0,1
detestes,1,0,0,0,0,1,0,0
detestée,2,0,1,0,0,1,0,0
detinataire,1,0,0,1,0,0,0,0
detour,1,0,0,1,0,0,0,0
detours,1,0,0,1,0,0,0,0
detr,2,0,0,0,1,0,0,1
detre,11,3,1,7,2,0,3,1
detresse,1,0,0,0,0,1,0,0
detrevis,0,1,0,0,1,0,0,0
detroit,1,0,0,0,0,1,0,0
detrompe,1,0,0,0,0,0,0,1
detrui,1,0,0,0,1,0,0,0
detruis,1,0,1,0,0,0,0,0
dette,1,0,0,0,0,0,1,0
dettes,1,0,0,0,1,0,0,0
detto,1,0,0,0,0,0,0,1
detude,0,1,1,0,0,0,0,0
detudier,0,1,0,0,1,0,0,0
deu,0,1,1,0,0,0,0,0
deuh,2,0,0,0,0,2,0,0
deui,2,0,0,0,0,0,2,0
deuil,2,0,0,0,0,0,1,1
deuis,1,0,0,0,1,0,0,0
deuro,1,0,0,0,0,0,1,0
deus,1,0,1,0,0,0,0,0
deuv,4,0,4,0,0,0,0,0
deuvian,1,0,0,0,0,0,1,0
deux,382,186,95,74,64,67,132,136
deuxieme,10,3,3,2,1,2,0,5
deuxiemement,1,0,0,0,1,0,0,0
deuxiement,0,1,1,0,0,0,0,0
deuxième,26,12,4,6,3,6,11,8
deuxièmement,3,0,0,0,0,3,0,0
deuxièmes,1,0,0,1,0,0,0,0
dev,7,1,4,1,3,0,0,0
devacuer,0,1,0,0,0,0,1,0
devai,4,1,3,1,0,0,1,0
devaient,4,3,1,2,1,1,1,1
devais,76,22,19,15,11,23,15,15
devait,64,15,19,18,5,13,13,11
devalisez,1,0,0,0,0,0,0,1
devan,6,0,1,0,0,2,3,0
devances,1,0,0,0,0,0,0,1
devancé,2,0,0,0,0,0,0,2
devanmt,1,0,0,1,0,0,0,0
devant,316,101,70,81,51,73,80,62
devants,1,0,0,0,0,0,1,0
devaus,1,0,1,0,0,0,0,0
developpeurs,1,0,0,0,0,0,0,1
devenait,1,0,0,0,1,0,0,0
devenez,1,0,0,0,0,0,1,0
devenir,31,7,5,9,3,7,5,9
