,Femme,Homme,Age1
arras,2,0,0
arret,90,21,22
arretaient,0,1,1
arretais,0,3,2
arretait,0,1,1
arretdes,1,0,1
arrete,163,70,55
arretee,1,0,0
arretent,2,1,1
arreter,45,11,15
arretera,3,0,0
arreterai,2,2,0
arretes,7,1,1
arretons,1,0,0
arrets,5,1,0
arrette,0,1,0
arreté,22,13,11
arretée,1,0,0
arretés,1,1,0
arriere,9,2,3
arriiiiive,1,0,0
arriiiive,1,0,0
arritver,1,0,0
arriv,5,0,1
arriva,1,0,0
arrivai,1,3,0
arrivaient,0,1,0
arrivais,12,4,2
arrivait,12,4,5
arrivando,1,0,0
arrivant,14,2,4
arrive,801,211,193
arrivee,40,2,0
arrivees,3,0,0
arrivent,22,6,4
arriver,165,55,27
arrivera,34,7,6
arriverai,16,5,3
arriveraip,1,0,0
arriverais,8,1,3
arriverait,3,1,0
arriveras,8,2,3
arriverons,2,1,0
arriveront,4,0,1
arriveré,1,0,0
arrives,90,20,10
arrivez,9,6,5
arrivo,1,0,0
arrivons,2,0,0
arrivé,132,39,25
arrivée,88,17,11
arrivées,5,0,0
arrivés,17,11,5
arrivéééée,1,0,0
arrière,10,5,3
arrières,3,0,0
arro,0,3,0
arrogants,1,0,0
arrondi,2,0,0
arrondir,1,0,0
arrosage,1,0,0
arrose,1,0,0
arroser,5,0,0
arroses,1,0,0
arrosé,1,0,0
arrosées,1,0,0
arrr,1,0,0
arrrete,1,0,0
arrrr,1,0,0
arrrrrf,1,0,0
arrte,1,0,0
arrète,2,0,1
arrètes,1,0,0
arrét,18,0,1
arréte,38,1,2
arréter,8,0,0
arrétes,18,0,0
arrétez,1,0,0
arréts,1,0,0
arrétz,1,0,0
arrété,3,1,1
arrêt,26,3,2
arrêtait,1,0,0
arrêtant,1,0,0
arrête,43,23,9
arrêtent,0,1,0
arrêter,11,1,0
arrêtera,1,0,0
arrêterais,3,0,1
arrêterait,0,1,0
arrêtes,3,0,0
arrêtez,1,0,0
arrêts,2,1,0
arrêté,5,6,2
arrêtée,5,1,0
arsenal,1,2,0
art,22,7,13
arte,2,2,2
arthroscopie,2,0,0
arthur,2,0,2
artica,1,0,0
artichauds,1,0,0
artichaut,1,0,0
article,18,5,2
articles,8,1,0
articuler,0,1,0
articulé,1,0,0
artifice,1,0,0
artifices,1,0,0
artisan,0,2,0
artisanale,1,0,0
artist,7,0,1
artiste,6,3,2
artistes,2,2,0
artistique,6,1,0
artistiques,0,2,0
artive,1,0,0
arts,14,6,2
arty,0,1,0
arv,2,0,2
arxiv,0,1,0
aryistisque,1,0,0
aryton,0,1,1
arène,1,0,0
arènes,1,0,0
arète,1,0,0
aréna,1,0,0
arénes,1,0,0
arété,1,0,0
asap,2,0,0
asb,0,1,0
ascenceur,0,1,1
ascencion,1,0,1
ascendant,2,1,0
ascenseur,2,2,2
ascension,1,0,0
ascoucou,1,0,0
asez,0,1,1
asiat,1,0,0
asiatique,1,0,0
asiatiques,3,0,0
asiats,1,0,0
asics,2,0,0
asie,1,0,0
asile,1,1,0
ask,1,1,1
asmathique,1,0,0
asocial,0,2,2
asociale,1,0,1
asociales,1,0,0
aspartame,1,0,0
aspect,0,1,0
aspects,2,0,0
asperge,1,0,0
aspergé,1,0,0
aspergée,1,0,0
aspergés,1,0,0
aspirateuqt,0,1,1
aspirateur,1,1,0
aspirer,0,1,1
aspirine,4,1,0
ass,1,0,0
assaisonees,1,0,0
assas,0,1,0
assassi,1,0,0
assassiner,1,0,0
assassines,1,0,0
assaut,1,1,1
assembler,2,0,0
assemblée,1,0,0
assenseur,1,0,0
asseoir,2,2,0
asser,1,1,0
assez,171,83,56
assi,2,0,0
assiete,3,0,0
assiette,6,2,1
assiettes,5,0,0
assigné,0,1,1
assiiiise,1,0,1
assimile,1,0,0
assis,10,6,2
assise,22,1,5
assistance,0,2,0
assistant,0,1,0
assistante,5,1,0
assiste,4,0,1
assistente,1,0,0
assister,12,4,0
assisté,2,0,1
assistées,1,0,0
assive,1,0,0
asso,3,19,0
assoce,0,1,0
associ,1,0,0
associable,0,1,1
associatif,0,1,0
association,1,4,0
associations,0,1,1
associer,5,0,0
associé,2,0,0
associés,1,1,0
assoifés,0,1,0
assoir,7,2,4
assois,0,1,1
assoit,1,0,0
assome,1,2,1
assomer,1,1,0
assorti,3,0,0
assortie,1,0,0
assortiment,1,0,0
assortir,1,0,0
assos,1,0,0
assotiation,0,1,0
assoupi,0,1,0
assouvir,1,0,0
assume,17,4,5
assument,1,0,0
assumer,3,2,2
assumes,8,0,0
assumé,0,1,0
assunt,1,0,0
assur,7,0,0
assurai,1,0,0
assurance,22,4,1
assurances,2,1,0
assure,14,7,6
assuree,1,0,0
assurer,7,2,2
assureur,0,1,0
assureurs,2,0,0
assuré,4,1,1
assurée,1,0,0
assurément,0,1,1
assuse,1,0,1
assuuuure,1,0,0
asta,1,0,0
astept,1,0,0
asthmatique,0,1,0
asthme,2,3,0
asticot,1,0,0
astiquais,0,1,0
aston,1,1,1
astro,0,1,0
astrologie,1,0,1
astrologique,2,0,0
astronaute,1,0,0
astuce,1,1,0
astuces,1,0,0
astérix,1,0,1
asxpas,1,0,0
asy,1,0,1
asymptote,2,0,1
asymptotes,2,0,1
at,15,14,1
ata,2,0,2
atak,1,0,0
atake,2,0,0
atan,2,0,2
ataque,1,0,0
atarder,1,0,0
atari,0,1,1
atd,1,0,0
atelier,16,2,0
ateliers,1,0,0
atelle,1,0,1
aten,4,2,1
atend,4,2,3
atendai,2,0,0
atendant,1,0,0
atendr,1,0,1
atendra,1,0,0
atendrai,1,0,0
atends,3,0,0
atendu,2,0,0
atent,1,0,1
atente,2,0,0
atention,5,1,0
athlete,0,1,1
athlé,1,2,3
athome,2,0,0
athènes,1,0,0
atjmtjdjtjmtja,1,0,1
atlantes,1,0,1
atlantique,2,0,0
atletisme,0,1,1
atmosphère,2,0,0
ato,7,0,0
atole,1,0,1
atome,1,1,0
atomique,0,1,0
atomistique,1,0,0
atout,1,2,2
atouts,1,0,0
atroce,17,1,6
atrocement,1,0,0
atrzn,1,0,0
att,20,14,19
atta,1,0,1
attaaaaaaaaaaaaquent,1,0,0
attachante,1,0,0
attache,2,1,1
attacher,6,1,1
attacheras,0,1,0
attaches,1,0,0
attachez,0,1,1
attaché,3,4,0
attachée,2,0,0
attachées,1,0,0
attachés,2,0,0
attadt,1,0,0
attaquait,1,0,0
attaquant,0,1,0
attaque,19,1,1
attaquer,3,1,0
attaques,0,1,1
attaqué,1,0,0
attaquée,3,0,0
attarde,1,0,0
attardent,0,1,0
attarder,1,0,0
attardé,2,0,1
attardée,1,0,0
attd,1,0,0
atte,5,1,1
atteignables,1,0,0
atteignez,1,0,0
attein,1,0,1
atteind,1,3,2
atteindra,1,1,1
atteindre,2,0,0
atteint,6,1,1
atteinte,2,0,1
atteler,2,0,2
attelle,2,0,0
atten,7,2,0
attend,357,85,103
attendai,7,0,4
attendais,45,15,13
attendait,12,3,6
attendan,1,0,0
attendant,51,22,9
attende,10,1,1
attenden,0,1,1
attendent,12,5,3
attendes,0,1,0
attendez,15,1,2
attendions,1,0,0
attendons,2,0,0
attendra,4,4,2
attendrai,9,1,3
attendrais,7,3,2
attendrait,1,1,1
attendras,1,0,1
attendre,121,52,40
attendrejun,1,0,0
attendrez,0,1,1
attendrr,1,0,0
attends,301,52,74
attendss,1,0,0
attendte,1,0,0
attendu,23,7,7
attendue,5,0,2
attennnd,1,0,1
attente,32,9,9
attentif,2,0,0
attentio,1,0,0
attention,110,24,22
attentionné,1,0,0
attentionnée,1,0,0
attentive,2,0,0
attenuer,1,0,0
attenzion,1,0,0
atteri,0,2,2
atterit,1,0,1
atterrissant,1,0,0
attestait,1,0,0
attestation,2,0,0
attirais,1,0,0
attirance,3,0,0
attirances,1,0,0
attire,7,3,3
attirent,3,0,0
attirer,3,0,0
attiré,2,0,0
attirée,2,0,0
attirés,1,0,0
attitré,1,0,0
attitude,9,5,0
attl,1,0,1
attnte,1,0,0
attractif,1,0,0
attraction,0,1,0
attractions,1,0,0
attrape,9,1,1
attrapent,1,0,0
attraper,3,0,0
attraperai,0,1,0
attrapper,0,1,0
attrapé,5,2,1
attrapée,1,0,0
attrapés,1,0,0
attribue,0,1,0
attribuer,1,0,0
attribué,2,0,0
attristant,0,1,1
attroce,1,0,0
atttention,1,0,1
attzndre,1,0,0
attéri,0,1,0
attérit,2,0,0
atu,0,1,1
atun,1,0,0
atypique,1,0,0
atènuront,1,0,1
atènué,1,0,1
atébaaas,1,0,0
au6,0,1,0
aube,4,0,1
auber,2,0,0
auberge,7,1,0
auberges,1,0,0
aubergine,1,1,1
aubes,3,0,0
aubin,1,0,0
aubout,1,0,0
aubry,2,2,0
auch,1,1,2
auchan,8,14,1
auci,2,0,2
aucin,1,0,1
auckland,1,0,0
aucun,112,28,23
aucune,106,36,17
aucunes,3,1,0
aucuuuune,1,0,0
aude,1,0,0
audi,2,0,0
audible,0,1,1
audiences,2,0,0
audimanche,1,0,1
audio,4,2,2
audit,4,0,0
auditing,1,0,0
audition,1,1,1
auditoire,1,0,0
aufait,14,0,1
aufaite,2,71,3
aufinal,1,0,0
augmentant,1,0,0
augmentation,2,0,0
augmente,5,0,0
augmenter,1,0,0
augmentons,1,0,0
augmenté,3,0,0
auguementer,1,0,0
auguro,1,0,0
augustin,1,0,0
augé,5,0,0
auj,59,1,0
aujd,7,0,0
auji,0,1,0
aujii,0,1,0
aujiurd,1,0,0
aujiurdhui,1,0,0
aujord,0,1,1
aujordhui,2,0,0
aujordui,1,0,0
aujoud,1,1,1
aujour,2,0,0
aujourd,402,176,71
aujourdh,1,0,0
aujourdhhui,1,0,0
aujourdhui,27,9,4
aujourdui,8,1,1
aujourfui,1,0,0
aukel,1,0,0
aulas,0,1,0
aulnai,2,0,0
aulnay,1,0,0
aumarche,0,1,1
aumerais,1,0,0
aumoin,0,1,1
aumonerie,2,1,1
aumoniers,1,0,0
aunat,1,0,0
aunes,1,0,0
auparavent,1,0,0
aupres,6,0,1
auprès,6,3,0
auprés,1,0,0
auquel,7,5,0
auraptetre,1,0,0
auraìs,0,1,0
aurelle,1,0,0
auresemen,1,0,1
aurevoir,3,0,1
aurias,1,0,0
aurillac,0,19,0
aurore,1,0,0
aurores,0,1,1
aurzis,1,0,0
ausdsi,1,0,1
auserai,1,0,0
ausi,10,0,3
ausis,1,0,0
aussi,2062,587,446
aussieuuuuh,1,0,0
aussii,1,0,0
aussiii,1,0,0
aussiiii,3,0,0
aussiiiii,2,0,0
aussiiiiii,1,0,0
aussisi,1,0,1
aussitot,1,0,0
aussoi,0,1,1
aussois,0,4,4
ausssi,1,1,1
ausssssi,1,0,0
aussì,1,1,1
austen,5,0,0
austin,3,0,0
austra,18,0,0
australian,4,0,0
australie,15,0,2
australienne,1,0,0
australiens,1,1,0
ausys,0,1,0
autan,1,0,0
autant,165,51,27
auteur,7,1,1
auteurs,2,1,0
autiero,0,2,0
autiste,1,3,0
autite,1,0,0
autnt,1,0,0
auto,15,11,5
autoallumage,2,0,0
autobio,1,0,0
autocollant,3,0,1
autocollants,1,1,1
autoconsternation,1,0,0
autodérision,0,1,0
autofait,1,0,0
autographe,0,2,1
autographes,1,0,0
automatic,0,1,1
automatique,4,1,1
automatiquement,1,0,0
automne,2,1,0
autonome,3,0,0
autonomie,4,1,0
autoradio,0,4,0
autorisaation,0,1,1
autorisation,6,0,1
autorise,1,3,2
autoriser,1,0,0
autorisé,0,1,1
autorisées,1,0,0
autoritaire,0,1,0
autorite,1,0,0
autorité,1,0,0
autorités,1,0,0
autoroute,11,1,1
autouche,1,0,1
autour,30,13,6
autours,1,0,1
autr,3,0,0
autralian,1,0,0
autre,674,201,137
autrefois,1,0,0
autrement,15,13,11
autrements,0,1,0
autres,338,92,60
autriche,1,0,0
autrs,1,0,0
autruche,3,1,0
autrui,3,1,1
autzwitch,1,0,1
auuussi,1,0,0
auuuusssiiii,1,0,0
auvergne,1,0,0
auvillar,1,0,0
auxerre,0,1,0
auxiliaire,1,0,0
auxquelles,5,0,0
auxquels,3,0,0
auzeville,0,1,1
außi,1,0,1
av,45,3,5
avai,62,2,8
avaios,1,0,0
avaiss,1,0,0
avale,3,0,0
avaler,5,1,1
avalé,0,1,0
avamt,2,0,0
avan,20,2,1
avancais,1,0,0
avance,131,33,25
avancee,2,0,0
avancent,2,0,0
avancer,39,7,4
avancera,1,0,0
avancerai,0,1,1
avancerait,1,0,1
avances,7,0,0
avancez,1,0,0
avancè,1,0,0
avancé,20,0,3
avancée,1,0,0
avancées,2,0,0
avanr,1,0,0
avant,750,249,169
avantage,11,3,5
avantages,8,2,2
avantageux,3,0,0
avançait,1,0,0
avançant,1,0,0
avaoir,0,2,2
avaot,2,0,1
avatage,1,0,0
avatar,1,0,0
avc,125,35,35
avcv,1,0,1
ave,3,0,1
avecelle,1,0,0
avecelodie,1,0,0
avecle,1,0,0
aveec,0,1,1
avek,1,0,1
aven,2,0,2
avence,1,0,0
avenir,13,4,3
avenri,1,0,0
avent,3,0,1
aventu,1,0,0
aventura,3,0,0
aventure,12,0,1
aventures,5,2,2
aventurieux,1,0,0
aventurié,1,0,0
aventuure,1,0,0
avenue,11,5,2
aver,1,1,1
averse,3,0,1
averses,1,0,0
averti,0,1,0
avertie,1,1,0
avertir,3,0,0
avertira,1,0,0
avertis,1,0,0
aveu,2,0,0
aveugle,11,1,4
aveugles,3,0,0
aveuglz,1,0,0
aveuglé,1,0,1
aveux,2,0,2
aveyron,4,0,0
avfons,1,0,1
avi,2,0,1
avic,1,0,0
avignon,12,3,1
aviir,1,0,0
aviis,1,0,0
avion,25,14,3
avionul,1,0,0
aviron,1,0,0
avis,124,50,32
avise,1,0,0
avisera,2,0,1
avises,2,0,0
avisés,1,1,1
aviva,0,1,0
avk,19,0,1
avlocardyl,1,0,0
avn,1,0,0
avo,1,0,1
avocat,2,1,0
avocats,1,0,0
avoie,1,0,0
avoine,2,0,0
avoir,771,236,153
avoire,1,0,1
avoirs,1,0,0
avoit,1,0,1
avortement,1,0,0
avorter,0,1,0
avou,27,3,6
avoue,170,35,59
avoueee,0,2,2
avoueeeee,0,1,1
avouer,7,5,4
avoues,4,0,1
avouez,1,0,0
avouue,2,0,0
avpir,1,0,0
avr,1,0,0
avril,6,1,1
avt,26,9,2
avvord,1,0,0
avzc,1,0,0
avè,2,0,0
avènement,0,2,1
avèze,0,2,0
avé,4,10,11
avéré,0,1,0
aw,2,0,0
awa,1,0,0
away,1,2,0
awesome,3,0,0
awwwwww,1,0,0
ax,3,2,2
axa,1,0,0
axcheter,1,0,1
axes,1,1,1
axé,2,0,0
axéc,1,0,0
ay,1,0,0
aya,2,0,1
ayah,1,0,0
ayait,1,0,1
ayapo,1,0,1
aye,7,0,0
ayee,1,0,0
ayeron,0,1,0
ayou,2,0,1
ayouuu,4,0,0
ayè,1,0,1
ayé,8,1,2
az,1,0,0
aze,1,0,0
azerty,1,0,0
azi,5,0,0
azienda,1,0,0
azii,1,0,0
aziii,1,0,0
azimer,1,0,1
aznavour,0,1,0
azur,2,0,0
azy,2,1,2
aéporort,0,1,0
aérobic,1,0,0
aéroport,21,6,0
aì,2,0,0
aîme,1,0,1
aïe,5,2,0
aïiii,1,0,1
aütre,1,0,0
b1,10,1,9
b10,1,0,0
b11,1,0,0
b115,1,0,1
b1b1,1,0,1
b2,1,0,0
b28,0,1,0
ba,61,20,13
baa,1,0,0
baaa,0,1,0
baaaa,1,0,0
baaaaa,1,0,0
baaaaaa,1,0,0
baaaaaaaaaaaaaaaa,1,0,0
baaaah,1,0,0
baaaarre,1,0,1
baaah,1,0,0
baah,2,0,2
baahh,0,1,1
baatard,0,1,1
baba,1,1,1
bababababab,1,0,0
babababababa,1,0,0
babababababababababidum,1,0,0
babar,1,0,0
babby,1,0,0
babe,1,0,1
babel,0,1,0
babet,1,0,0
babinton,0,1,1
babioles,1,0,0
babolat,1,0,0
babos,2,1,0
babou,1,0,1
baboum,0,1,1
baby,56,18,7
babylone,1,0,0
babysitting,1,1,0
bac,85,12,21
bach,1,0,0
bache,2,0,0
bachelier,0,1,0
bachibac,0,1,1
bacioni,6,0,0
back,9,6,1
background,1,0,0
backroom,1,0,0
bacler,2,0,1
baclé,1,1,1
bacon,2,0,0
bacri,1,0,1
bacs,3,0,0
bacterio,1,0,0
bad,62,13,37
badaboum,0,1,0
badant,1,1,1
badaré,0,1,0
badass,1,0,0
bade,1,0,1
badeeer,1,0,0
bader,12,6,4
badera,0,1,0
badge,2,0,0
badine,1,0,1
badmington,1,0,0
badminton,5,0,0
badoit,1,0,0
badoo,0,2,0
badé,0,2,2
bafa,8,2,2
baff,1,0,1
baffe,4,2,1
baffes,3,0,0
baffé,0,1,1
bafouille,1,0,0
bafouiller,1,0,0
bag,1,0,0
bagage,2,1,0
bagages,6,1,1
bagaje,1,0,0
bagare,1,0,1
bagarre,2,0,0
bagarrent,0,1,1
bagdad,1,0,0
bagels,1,0,0
bagieu,1,0,0
bagna,1,0,0
bagnac,0,1,0
bagne,1,0,0
bagno,1,0,0
bagnole,0,1,1
bagnoles,0,3,2
bagnols,1,0,0
bague,6,2,5
bagues,2,2,2
baguette,13,2,0
baguettes,1,1,1
bah,1470,495,559
bahahah,1,0,0
bahh,0,2,2
bahhhh,1,1,1
bahu,3,11,1
bahut,6,12,10
bai,1,0,0
baie,6,0,2
baignade,0,1,0
baignait,1,0,0
baigne,0,1,1
baigner,3,1,0
baignoir,1,0,0
baignoire,4,2,1
baignoirz,1,0,0
baigné,2,1,0
baignée,1,0,0
baignés,1,0,0
bail,10,4,2
baillargues,1,1,0
bailler,1,0,0
bain,36,8,8
bains,2,0,0
baisaient,1,0,0
baisait,0,1,1
baise,3,0,1
baiseeer,1,0,0
baiser,8,4,3
baiseras,0,1,0
baisers,2,5,2
baises,1,1,0
baisse,10,1,6
baissent,1,0,0
baisser,7,1,0
baisses,1,0,1
baissez,2,0,0
baissé,2,2,2
baissée,2,0,0
baisé,1,0,0
baizé,1,0,0
bal,3,1,1
bala2,1,0,0
balada,1,0,0
baladant,1,0,1
balade,15,2,5
balader,13,1,1
baladera,1,0,1
baladerai,0,1,0
balades,1,0,0
baladeur,1,0,0
baladeurs,2,0,0
baladé,1,0,0
balai,3,2,0
balaie,1,0,0
balais,3,1,0
balaise,1,1,1
balance,17,5,5
balancer,4,0,0
balancoire,1,0,0
balancé,2,0,0
balaruc,9,0,0
balayage,2,0,0
balayait,1,0,0
balayer,0,1,0
balcon,12,1,0
balek,1,0,1
balena,0,1,0
baleze,1,0,0
bali,1,0,1
balia,6,0,0
baliste,1,0,0
balisé,2,0,0
ball,3,2,0
balladait,1,0,0
ballade,6,1,1
ballader,6,1,0
ballaruc,1,0,0
balle,8,3,1
ballerine,1,0,0
ballerines,3,0,1
balles,6,9,5
ballet,0,1,0
ballon,6,8,7
ballons,1,1,0
balloté,1,0,0
balnc,1,0,1
balneo,1,0,0
balo,1,0,0
balon,0,1,0
balonement,1,0,0
balonè,1,0,0
balot,1,1,1
baltard,0,1,1
baltimore,0,1,0
baltringue,0,3,0
balzar,0,1,0
bam,2,1,2
bamako,1,0,0
bamba,0,1,0
bambi,1,0,0
bambin,1,0,0
bambou,1,0,0
bambous,1,0,0
ban,11,0,10
banal,2,0,0
banale,1,0,0
banalité,1,0,0
baname,1,0,1
banane,19,5,0
bananes,4,0,0
bananier,1,0,0
banc,12,5,8
bancaire,2,0,1
bancaires,1,0,0
banco,1,0,0
bancs,1,1,1
bandage,0,1,1
bandais,1,0,0
bandana,0,1,0
bandanas,1,0,0
bandant,0,1,0
bandante,2,0,0
bande,28,9,5
bandeau,3,0,1
bander,2,1,0
banderait,1,0,0
bandes,5,1,1
banette,2,0,0
bang,4,0,0
baniole,0,1,0
bank,1,0,0
banlieu,4,0,0
banlieue,2,2,0
banniere,1,0,0
bannisse,1,0,0
banquaire,1,0,0
banque,31,6,3
banques,2,0,0
banquets,1,0,0
banquier,0,2,0
banquière,1,0,0
banquz,1,0,0
banzai,0,1,0
bao,2,0,0
baobab,1,0,0
bapteme,6,1,1
baptiser,1,0,0
baptême,0,1,0
baquet,0,1,1
bar,86,22,0
baragouine,2,0,0
baraka,2,1,0
barakajeu,2,0,0
baraque,4,1,0
baratiiin,1,0,0
barban,1,0,0
barbara,1,4,3
barbares,1,0,0
barbaro,1,0,1
barbe,11,2,6
barbecue,2,0,1
barber,1,0,0
barberousse,4,1,0
barbes,1,0,0
barbeuc,3,1,0
barbie,1,0,0
barbies,2,0,0
barbouillée,2,0,1
barbu,2,3,1
barbus,2,0,0
barca,0,3,1
barcelona,2,1,0
barcelone,18,1,1
barco,0,1,0
bardot,0,1,0
barekfik,0,1,0
barge,1,0,0
bariere,1,0,1
barkete,1,0,0
barman,1,0,0
barmann,1,0,0
barney,3,0,0
barons,1,0,0
baroudeur,1,0,0
barp,1,0,1
barque,1,0,0
barquette,0,1,0
barrage,1,0,0
barrages,0,1,1
barrais,1,0,0
barrant,0,1,0
barraque,0,1,0
barre,19,9,9
barree,1,0,0
barrent,2,0,0
barrer,3,2,2
barrerais,1,0,0
barres,11,3,5
barrettes,2,0,0
barreé,0,1,1
barricade,1,0,1
barricader,1,0,0
barriere,1,0,0
barrio,1,0,0
barrière,0,1,0
barrières,2,1,1
barrricadé,0,1,0
barrèe,1,0,0
barré,11,0,1
barrée,2,1,2
barrés,1,0,1
bars,4,1,0
bart,0,1,0
barthe,1,0,0
bartok,1,0,0
barè,2,0,2
bas,213,58,45
basan,1,0,0
basculant,1,0,0
base,47,10,8
basee,1,1,1
basens,1,0,1
bases,5,3,2
bashung,0,1,0
basic,2,0,0
basique,5,0,1
basiques,1,1,1
basket,16,15,15
baskets,4,2,2
basketteur,0,1,1
bass,1,0,1
basse,7,5,2
basses,1,0,0
bassin,2,2,1
bassine,2,1,0
bassiste,2,0,0
basta,1,2,1
bastard,1,0,0
basters,1,0,0
bastille,2,8,7
baston,0,4,4
bastons,0,1,1
basé,3,0,1
basés,1,0,0
bat,24,9,6
bat16,1,0,0
bat2,1,0,0
bata,3,0,1
bataaarrdddd,0,1,1
bataille,6,1,2
batailles,1,0,0
batante,0,1,0
batar,2,0,1
batard,5,13,12
batarde,0,6,6
batardo,0,1,0
bateau,12,1,1
bateaux,1,1,0
bateme,1,0,0
bateri,5,0,0
baterie,1,5,3
bateson,1,0,0
batimen,1,0,0
batiment,24,4,1
batiments,1,0,0
batiser,1,0,0
batista,0,1,1
batlefield,1,0,0
batlfield,0,1,0
batmaaaaaaaaaaaan,1,0,0
batmaaaaaan,1,0,0
batman,7,0,0
batmobile,3,0,0
bato,1,0,0
batons,3,0,0
batos,1,0,0
batri,1,0,0
batrie,1,0,0
bats,3,2,3
batt,0,3,3
battaaarrddd,0,1,1
battais,2,0,0
battait,1,0,0
battant,1,0,0
battante,3,1,1
batte,0,1,1
battements,2,0,0
batteri,0,1,1
batterie,63,26,9
batteries,0,2,0
batteront,1,0,0
battes,4,0,1
batteur,1,1,1
battez,3,0,0
battit,1,1,1
battl,0,2,2
battle,0,1,0
battleship,1,0,0
battlfield,0,1,1
battrais,1,0,0
battre,10,1,3
battrie,1,0,0
battu,9,2,1
battue,1,1,0
battues,1,0,0
battus,0,1,0
batu,0,1,1
baubourg,1,0,0
baume,2,0,0
baumlaire,0,1,0
bavard,1,1,0
bavarde,1,0,0
bavardes,0,1,1
bave,2,1,0
baver,4,0,0
baverait,0,1,0
baveux,0,1,0
bavillers,0,1,0
bavé,1,0,0
bayen,0,2,0
bayo,0,1,0
bayonnaise,0,1,0
bayonne,2,0,1
bayron,1,0,0
bayrou,0,2,0
bazar,5,0,0
bazard,1,0,0
bazars,1,0,0
bazooka,1,0,0
bazucca,1,0,0
bb,33,119,7
bbah,1,0,1
bbavan,0,1,0
bbc,1,0,0
bben,1,0,0
bbey,1,0,1
bbeysinha,1,0,1
bbien,1,0,0
bbisou,1,0,0
bbisous,1,0,0
bbl,1,0,1
bbm,2,1,1
bbox,0,1,0
bbrise,0,1,0
bbsit,4,0,4
bbé,3,0,0
bcp,248,36,28
bcq,0,1,0
bct,0,1,0
bd,19,2,2
bdah,1,0,0
bday,0,2,0
bds,6,4,4
bdx,15,3,0
bdéjà,0,1,0
be,24,23,4
beace,1,0,0
beach,0,1,0
beacoup,1,0,1
beat,0,2,1
beati,1,0,0
beatles,0,1,0
beau,279,103,57
beaubourg,2,0,0
beaucoup,375,121,99
beaucourt,0,1,0
beaucoyp,1,0,0
beauf,4,0,1
beaufs,1,0,0
beaujolais,4,0,0
beaujolif,0,1,0
beaumont,1,0,0
beaune,0,2,2
beaus,1,0,0
beauty,4,1,0
beauté,10,9,2
beauvais,1,0,0
beaux,117,36,42
beauxcoup,0,1,0
beauzille,1,0,0
beb,0,3,2
bebe,29,4,2
bebeee,1,0,0
bebes,1,0,0
bebete,1,0,0
bebette,6,0,0
bebeyy,1,0,0
bebou,18,0,0
bebouuu,2,0,0
bec,2,0,0
because,9,0,1
bechar,0,1,1
beche,0,1,1
becherelle,3,0,0
beckham,1,0,0
become,1,0,0
becot,0,1,0
becots,0,2,0
bed,1,1,0
beda,2,0,0
bedave,1,0,0
bedavent,0,1,1
bedot,1,0,0
bedroom,1,0,0
beeau,1,0,0
beeeaucoup,1,0,0
beeee,1,0,0
beeeeeete,1,0,0
beeeeen,1,0,0
beeeeete,1,0,0
beeeelle,1,0,0
beeen,1,0,0
been,2,1,0
beer,0,2,0
beez,0,1,0
before,1,8,1
begayer,1,0,0
begle,1,0,1
begles,1,0,1
beh,313,20,143
behc,1,0,1
bei,8,0,7
beibei,4,0,4
beige,4,2,0
beignet,1,1,1
beignets,4,1,0
beignoire,1,0,0
bein,51,2,0
being,0,3,0
beirut,1,0,0
bekti,1,0,1
bel,14,1,0
bela,0,1,0
bele,1,1,1
belette,0,2,0
belevile,3,0,0
belew,1,0,0
belfort,0,30,0
belge,1,1,0
believe,1,1,0
bell,0,1,0
bella,3,2,0
belle,275,51,56
belleau,2,0,2
belles,22,10,2
bellevue,1,0,0
belli,0,1,0
bellissima,1,0,1
bellucci,1,0,0
bellys,1,0,0
belmont,1,0,0
belote,3,1,0
belotte,1,0,0
belouga,0,1,0
belt,1,0,1
belucci,1,0,1
bem,1,0,0
bemol,0,1,0
ben,1456,492,201
benasis,1,0,1
benchez,1,0,1
bene,15,0,1
benediction,1,0,0
benef,0,1,0
benefice,2,0,0
beneficier,1,0,0
benefique,2,0,0
benevol,1,0,0
beni,1,0,0
benicio,1,0,1
benis,1,0,0
benissimo,1,0,0
benjamin,0,1,1
benne,1,0,0
bennington,1,0,0
bensimons,1,0,0
benson,1,0,0
benzo,2,0,0
benzène,1,0,0
bep,1,3,3
berbere,1,0,0
bercail,1,0,0
berce,0,1,0
berceuse,0,1,0
berck,1,0,0
bercy,1,0,0
berger,2,0,0
bergerac,2,0,2
bergmannstrasse,1,0,0
berk,10,1,2
berlin,6,2,1
berline,1,0,0
berliner,1,0,0
berlingo,1,0,0
bernard,1,7,4
berner,0,1,0
berschka,1,0,0
bershka,3,0,2
besac,0,1,0
besançon,1,1,0
besicos,1,0,0
besitos,4,0,0
beso,3,0,0
besoin,368,115,61
besoins,4,2,2
besombes,1,0,0
beson,0,1,1
besoooos,2,0,0
besos,13,0,0
besset,0,1,0
besson,1,0,1
best,8,2,2
besta,1,0,0
bestaah,1,0,0
bestah,4,1,1
bestial,1,0,0
bestiole,3,0,0
bestioles,3,0,0
bestou,1,0,0
beta,2,0,0
betadine,1,0,0
betasse,1,0,0
bete,54,12,18
beteee,0,1,1
betement,2,1,1
beteq,1,0,0
betes,3,2,2
betiiiises,1,0,0
betise,10,4,3
betises,10,0,2
betisier,1,0,0
betom,3,0,0
beton,1,1,1
